created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweeted_status,retweet_count,favorite_count,entities,extended_entities,favorited,retweeted,possibly_sensitive,lang
Wed Oct 01 00:32:09 +0000 2014,517109680649547776,517109680649547776,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:29:31 +0000 2014,517109015789453312,517109015789453312,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:28:00 +0000 2014,517108633717727233,517108633717727233,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:19:53 +0000 2014,517106591653306368,517106591653306368,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:19:41 +0000 2014,517106540516741120,517106540516741120,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:17:08 +0000 2014,517105896795545600,517105896795545600,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:16:14 +0000 2014,517105674535600128,517105674535600128,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:15:11 +0000 2014,517105407954026496,517105407954026496,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:14:43 +0000 2014,517105291134259200,517105291134259200,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:13:30 +0000 2014,517104984861978624,517104984861978624,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:13:07 +0000 2014,517104887994515456,517104887994515456,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:10:55 +0000 2014,517104335927664640,517104335927664640,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:10:33 +0000 2014,517104242969280512,517104242969280512,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:09:37 +0000 2014,517104009698902016,517104009698902016,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:08:39 +0000 2014,517103766017822720,517103766017822720,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:07:54 +0000 2014,517103574011355137,517103574011355137,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:07:46 +0000 2014,517103540917919744,517103540917919744,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
